Key,German(de)
zfk_intro_assi_start,"Der Zeigefingerknoten dient dazu, die vorhergegangenen Knoten zu sichern."
zfk_intro_assi_startposition,"Beginnen wir wie immer damit, die Ausgangsposition einzunehmen. Das kennst du ja schon."
zfk_part1_assi_grip,"Genau so. Ändere nun deinen Griff in der rechten Hand so, dass du den Faden zwischen Daumen und Mittelfinger hältst. Strecke anschließend deinen Zeigefinger gerade aus."
zfk_part1_assi_indexturn,"Bewege deine Hand nach rechts, und straffe dabei den gelben Faden. Bewege dann deinen Zeigefinger unter dem Faden hindurch und drücke ihn dabei leicht nach oben."
zfk_part1_assi_cross,"Als nächstes spanne den Faden zwischen Zeige und Mittelfinger auf und halte die pinke und gelbe Fadenhälfte überkreuz, sodass sie sich berühren."
zfk_part2_assi_takered,Krümme deinen Zeigefinger und nimm in der Bewegung den pinken Faden mit. Der gelbe Faden muss nicht gestrafft sein dabei.
zfk_part2_assi_greenback,Strecke den Zeigefinger aus und drücke dabei den gelben Faden nach hinten.
zfk_part2_assi_loop,Drücke die gelbe Fadenhälfte mit deinem Zeigefinger nach rechts durch die Schlaufe.
zfk_part2_assi_looseend,Jetzt klemme die gelbe Fadenhälfte zwischen deinem rechten Zeige- und Mittelfinger ein und ziehe das lose Ende durch die Schlaufe.
zfk_part3_assi_tighten,"Halte das gelbe Ende weiterhin fest in deiner Hand, und lege den Zeigefinger auf den entstandenen Knoten. Zum Schluss drückst du den Knoten einfach nach unten, um ihn zu festigen."
zfk_part3_assi_completed,"Wunderbar, das war es auch schon. Gute Arbeit!"
zfk_intro_assi_start_short,Jetzt fehlt nur noch der Zeigefingerknoten.
zfk_intro_assi_startposition_short,Wir beginnen wieder mit der Ausgangsposition.
zfk_part1_assi_grip_short,Nimm jetzt den Faden zwischen Daumen und Mittelfinger und strecke den Zeigefinger aus.
zfk_part1_assi_indexturn_short,Nun straffe den gelben Faden nach rechts und drücke ihn mit dem Zeigefinger nach oben.
zfk_part1_assi_cross_short,Spanne den gelben Faden zwischen Zeige- und Mittelfinger auf und überkreuze ihn mit dem pinken Ende.
zfk_part2_assi_takered_short,Ziehe den pinken Faden etwas mit dem Zeigefinger heran.
zfk_part2_assi_greenback_short,Jetzt drücke den gelben Faden nach hinten.
zfk_part2_assi_loop_short,Drücke die gelbe Fadenhälfte nach rechts durch die Schlaufe.
zfk_part2_assi_looseend_short,Ziehe das lose Fadenende mit Zeige- und Mittelfinger durch die Schlaufe.
zfk_part3_assi_tighten_short,Halte das gelbe Ende weiter fest und drücke den Knoten nach unten.
zfk_part3_assi_completed_short,"Wunderbar, das war es auch schon. Gute Arbeit!"
